name,mgmt_ip,device_type,vendor,model,credential_profile,port
SH-MH-601-C08U4-H3CS9825-G1-A02016,10.252.80.67,switch,h3c,S9825,default,22
SH-MH-601-C09U38-H3CS9825-G1-A02017,10.252.80.68,switch,h3c,S9825,default,22
SH-MH-601-C09U33-H3CS9825-G1-A02018,10.252.80.69,switch,h3c,S9825,default,22
SH-MH-601-C09U28-H3CS9825-G1-A02019,10.252.80.70,switch,h3c,S9825,default,22
SH-MH-601-C09U24-H3CS9825-G1-A02020,10.252.80.71,switch,h3c,S9825,default,22
SH-MH-601-C09U19-H3CS9825-G1-A02021,10.252.80.72,switch,h3c,S9825,default,22
SH-MH-601-C09U14-H3CS9825-G1-A02022,10.252.80.73,switch,h3c,S9825,default,22
SH-MH-601-C09U9-H3CS9825-G1-A02023,10.252.80.74,switch,h3c,S9825,default,22
SH-MH-601-C09U4-H3CS9825-G1-A02024,10.252.80.75,switch,h3c,S9825,default,22
SH-MH-601-C11U38-H3CS9825-G1-A02025,10.252.80.76,switch,h3c,S9825,default,22
SH-MH-601-C11U33-H3CS9825-G1-A02026,10.252.80.77,switch,h3c,S9825,default,22
SH-MH-601-C11U28-H3CS9825-G1-A02027,10.252.80.78,switch,h3c,S9825,default,22
SH-MH-601-C11U24-H3CS9825-G1-A02028,10.252.80.79,switch,h3c,S9825,default,22
SH-MH-601-C11U19-H3CS9825-G1-A02029,10.252.80.80,switch,h3c,S9825,default,22
SH-MH-601-C11U14-H3CS9825-G1-A02030,10.252.80.81,switch,h3c,S9825,default,22
SH-MH-601-C11U9-H3CS9825-G1-A02031,10.252.80.82,switch,h3c,S9825,default,22
SH-MH-601-C11U4-H3CS9825-G1-A02032,10.252.80.83,switch,h3c,S9825,default,22
SH-MH-601-H05U39-H3CS9825-G1-A03001,10.252.80.84,switch,h3c,S9825,default,22
SH-MH-601-H05U34-H3CS9825-G1-A03002,10.252.80.85,switch,h3c,S9825,default,22
SH-MH-601-H05U29-H3CS9825-G1-A03003,10.252.80.86,switch,h3c,S9825,default,22
SH-MH-601-H05U24-H3CS9825-G1-A03004,10.252.80.87,switch,h3c,S9825,default,22
