name,mgmt_ip,device_type,vendor,model,credential_profile,port
SH-MH-601-B06U39-H3CS9825-G2-A01001,10.252.80.4,switch,h3c,S9825,default,22
SH-MH-601-B06U34-H3CS9825-G2-A01002,10.252.80.5,switch,h3c,S9825,default,22
SH-MH-601-B07U39-H3CS9825-G2-A01003,10.252.80.6,switch,h3c,S9825,default,22
SH-MH-601-B07U34-H3CS9825-G2-A01004,10.252.80.7,switch,h3c,S9825,default,22
SH-MH-601-B09U39-H3CS9825-G2-A01005,10.252.80.8,switch,h3c,S9825,default,22
SH-MH-601-B09U34-H3CS9825-G2-A01006,10.252.80.9,switch,h3c,S9825,default,22
SH-MH-601-B10U39-H3CS9825-G2-A01007,10.252.80.10,switch,h3c,S9825,default,22
SH-MH-601-B10U34-H3CS9825-G2-A01008,10.252.80.11,switch,h3c,S9825,default,22
SH-MH-601-I07U38-H3CS9825-G2-A02001,10.252.80.12,switch,h3c,S9825,default,22
SH-MH-601-I07U33-H3CS9825-G2-A02002,10.252.80.13,switch,h3c,S9825,default,22
SH-MH-601-I09U38-H3CS9825-G2-A02003,10.252.80.14,switch,h3c,S9825,default,22
SH-MH-601-I09U33-H3CS9825-G2-A02004,10.252.80.15,switch,h3c,S9825,default,22
SH-MH-601-I10U38-H3CS9825-G2-A02005,10.252.80.16,switch,h3c,S9825,default,22
SH-MH-601-I10U33-H3CS9825-G2-A02006,10.252.80.17,switch,h3c,S9825,default,22
SH-MH-601-I11U38-H3CS9825-G2-A02007,10.252.80.18,switch,h3c,S9825,default,22
SH-MH-601-I11U33-H3CS9825-G2-A02008,10.252.80.19,switch,h3c,S9825,default,22
SH-MH-601-A06U39-H3CS9825-G1-A01001,10.252.80.20,switch,h3c,S9825,default,22
SH-MH-601-A06U34-H3CS9825-G1-A01002,10.252.80.21,switch,h3c,S9825,default,22
SH-MH-601-A06U29-H3CS9825-G1-A01003,10.252.80.22,switch,h3c,S9825,default,22
SH-MH-601-A06U24-H3CS9825-G1-A01004,10.252.80.23,switch,h3c,S9825,default,22
